Country,TotalConfirmed,TotalDeaths,TotalRecovered,Active
Afghanistan,98734,3934,63875,30925
Albania,132488,2454,129910,124
Algeria,135586,3624,94336,37626
Andorra,13842,127,13650,65
Angola,37604,856,31589,5159
Antigua and Barbuda,1263,42,1221,0
Argentina,4258394,88742,3868105,301547
Armenia,224167,4496,215999,3672
Australia,30322,910,23727,5685
Austria,649445,10679,635886,2880
Azerbaijan,335437,4961,329462,1014
Bahamas,12295,241,11230,824
Bahrain,262427,1297,252848,8282
Bangladesh,848027,13466,780146,54415
Barbados,4040,47,3980,13
Belarus,410096,3035,402876,4185
Belgium,1078251,25117,0,1053134
Belize,13004,328,12551,125
Benin,8140,103,7979,58
Bhutan,1889,1,1544,344
Bolivia,419313,16009,335285,68019
Bosnia and Herzegovina,204814,9630,179858,15326
Botswana,63247,940,58541,3766
Brazil,17801462,498499,15687189,1615774
Brunei Darussalam,251,3,239,9
Bulgaria,421005,17989,392809,10207
Burkina Faso,13462,167,13287,8
Burundi,5121,8,773,4340
Cambodia,42052,414,36868,4770
Cameroon,80328,1313,35261,43754
Canada,1183647,23732,1375709,-215794
Cape Verde,31910,281,30907,722
Central African Republic,7101,98,6859,144
Chad,4946,174,4768,4
Chile,1505001,31259,1431515,42227
China,103501,4846,98072,583
Colombia,3888614,98746,3616680,173188
Comoros,3905,146,3745,14
Congo (Brazzaville),12298,161,11211,926
Congo (Kinshasa),37519,873,27931,8715
Costa Rica,350630,4473,272128,74029
Croatia,359115,8169,350280,666
Cuba,166368,1148,157285,7935
Cyprus,73582,374,39061,34147
Czech Republic,1665961,30278,1631662,4021
Côte d'Ivoire,48031,307,47420,304
Denmark,292029,2530,283662,5837
Djibouti,11587,155,11424,8
Dominica,191,0,189,2
Dominican Republic,315815,3754,257034,55027
Ecuador,445586,21284,407512,16790
Egypt,276190,15791,204701,55698
El Salvador,76697,2327,71062,3308
Equatorial Guinea,8698,120,8489,89
Eritrea,5336,19,4782,535
Estonia,130781,1267,126631,2883
Ethiopia,275036,4280,254296,16460
Fiji,1798,6,473,1319
Finland,94269,967,46000,47302
France,5814648,110864,401836,5301948
Gabon,24864,158,24264,442
Gambia,6024,181,5827,16
Georgia,358360,5148,343837,9375
Germany,3728601,90374,3600360,37867
Ghana,94913,793,92881,1239
Greece,418095,12528,93764,311803
Grenada,161,1,160,0
